Times	XFX-Tank-base 3.3	HX-TANK-base2.9	XJ-R1-Ñ¹Á¦	XJ-R2-Ñ¹Á¦	J-PTHC02A_P	J-HCXZ01Z_P	J-PTHC04A_P	J-PTHC05A_P	J-PTHC01A_P
3:25	2.29279232	2.679962873	2.282902718	3.661164284	24.0674324	25.07762337	23.92252159	24.98065567	23.72080231
3:30	2.338958263	2.730417013	2.331496716	3.659871101	23.51530075	24.55621338	23.37523842	24.46586037	23.17074585
3:35	2.38214922	2.780770779	2.373066902	3.670847654	23.82559586	24.87837791	23.686903	24.78539848	23.48064232
3:40	2.426329136	2.831376791	2.434120893	3.685009003	23.7602272	24.88628387	23.62548256	24.77246666	23.4075737
3:45	2.471374512	2.881999254	2.4916327	3.703278303	23.97053337	25.10125732	23.83124924	24.96943092	23.62423706
3:50	2.514390707	2.93282485	2.479326725	3.725712061	24.09063721	25.11310959	23.94648743	24.9866581	23.73016357
3:55	2.5596385	2.983605862	2.49956584	3.734653473	24.0396347	25.1160717	23.89349365	25.01195145	23.67065811
4:00	2.604386806	3.034503937	2.527643681	3.739722252	24.44919395	25.52521706	24.30960846	25.41248131	24.07549858
4:05	2.647507668	3.084680319	2.556248903	3.757228613	24.12157059	25.22916603	23.97157478	25.11159706	23.73545456
4:10	2.690541267	3.135304928	2.586775303	3.769307613	24.48770714	25.5248642	24.33168411	25.4196167	24.09803391
4:15	2.734125853	3.185840845	2.628006458	3.776195049	24.52220917	25.57512474	24.37363625	25.47651291	24.14999771
4:20	2.780108213	3.236456394	2.669632912	3.791364431	24.45021629	25.50120926	24.29942322	25.40696907	24.07551956
4:25	2.82137394	3.286863804	2.71312499	3.814071417	24.79806519	25.90177917	24.65538979	25.79836655	24.44661522
4:30	2.863558769	3.337453604	2.752395153	3.833989382	25.03974152	26.07918167	24.88978004	25.97289276	24.67259598
4:35	2.906828403	3.387510777	2.774857521	3.855933189	24.28469086	25.34730911	24.1287632	25.24226761	23.89851952
4:40	2.950789213	3.43789506	2.797866106	3.876228094	24.91404915	25.92871094	24.75381088	25.83620262	24.52833557
4:45	2.993175745	3.488466024	2.833217144	3.897880077	24.91167641	25.88365173	24.74941826	25.80114746	24.52436447
4:50	3.033347607	3.538705349	2.861426592	3.917609692	25.19513702	26.20867157	25.03305626	26.11932945	24.81238365
4:55	3.072478771	3.588494062	2.87493825	3.934399366	25.38871765	26.35858917	25.22161484	26.2653389	24.99250793
5:00	3.116325855	3.637916327	2.884567499	3.955994606	24.70919418	25.61663055	24.53589058	25.53325844	24.29951286
5:05	3.160024405	3.686817646	2.877846718	3.982693434	24.29913902	25.20573235	24.12010956	25.14352417	23.88514709
5:10	3.202354908	3.735838175	2.860965014	4.002758026	24.78078842	25.68745613	24.59941292	25.63829422	24.36385727
5:15	3.244089842	3.784372807	2.834285259	4.026364326	22.27654076	23.17930222	22.08179855	23.14121437	21.83731651
5:20	3.271396875	3.832487345	2.810661077	4.044919491	22.86676788	23.8536911	22.68649864	23.81612968	22.45080566
5:25	3.271397114	3.881015062	2.787426233	4.061162949	23.9493103	24.87518692	23.78164673	24.81431007	23.54751205
5:30	3.271397114	3.928865671	2.763136864	4.077735901	24.96873283	25.1946125	24.654562	25.13972092	24.24585915
5:35	3.271397114	3.976513147	2.748740196	4.090596676	23.60437012	24.63452148	23.43252945	24.55931473	23.19718933
5:40	3.271397114	4.02324295	2.732327223	4.105644226	23.70508385	24.62396622	23.5041523	24.57547569	23.24650192
5:45	3.271397114	4.070490837	2.712748289	4.121934891	22.19569588	23.0604763	21.99051094	23.02171516	21.73310471
5:50	3.271397114	4.116966248	2.704757929	4.136623859	22.87700081	22.89150238	22.69447327	22.87658691	22.37412834
5:55	3.271397114	4.13048315	2.699255466	4.150982857	24.68193436	25.16578484	24.66663742	25.14758301	24.41376114
6:00	3.271397114	4.13048315	2.695091248	4.165002823	23.82760429	24.33793068	23.81172562	24.31922913	23.56217194
6:05	3.271397114	4.13048315	2.6979177	4.17850399	25.18523788	25.7639389	25.1401825	25.72574425	24.88663673
6:10	3.271397114	4.13048315	2.696617365	4.190960407	25.50068283	26.11284065	25.44802475	26.07618713	25.20905113
6:15	3.271397114	4.13048315	2.690285921	4.204866886	25.48249054	26.03863716	25.42133141	26.00749779	25.18590164
6:20	3.271397114	4.13048315	2.674871683	4.219027996	24.97793388	25.54981041	24.90838242	25.52128029	24.67372322
6:25	3.271397114	4.13048315	2.649733305	4.231719494	24.98730087	25.5180645	24.90976524	25.49855995	24.67894363
6:30	3.271397114	4.13048315	2.621637106	4.243072987	26.64221191	27.17334557	26.56089783	27.15975189	26.32819176
6:35	3.271397114	4.130483627	2.587058067	4.246031761	27.6526947	28.0612278	27.5665226	28.05072021	27.33318329
6:40	3.271397114	4.130483627	2.548673391	4.246469498	25.49185753	26.02285767	25.41853333	25.99770164	25.17950821
6:45	3.271397114	4.130483627	2.508630037	4.246163368	22.04623985	22.55600548	21.97130585	22.52989006	21.73888397
6:50	3.271397114	4.130483627	2.478592634	4.248500347	21.45701218	21.95830154	21.34010506	21.95606422	21.08555031
6:55	3.271397114	4.130483627	2.447782516	4.244986057	25.42527008	25.90805817	25.62552643	25.91453934	25.02704811
7:00	3.271397114	4.130483627	2.413034201	4.239200592	24.96512794	25.48589516	25.16684151	25.49218559	24.55862999
7:05	3.271397114	4.130483627	2.381282091	4.238352776	25.68040085	26.23118401	25.87432098	26.2375164	25.2870369
7:10	3.271397114	4.130483627	2.346703291	4.235648632	24.58143806	25.04195786	24.74270439	25.05004883	24.15622902
7:15	3.271397114	4.130483627	2.309449434	4.233104706	19.18036079	22.65431786	19.36257935	22.64548111	19.06998062
7:20	3.271397114	4.130483627	2.280956745	4.230909348	20.9632988	22.53113556	20.73247337	22.51893044	20.07488823
7:25	3.271397114	4.130483627	2.247829199	4.228403091	23.34449005	23.94478989	22.96268272	23.89390182	22.13780212
7:30	3.271397114	4.130483627	2.214023352	4.223852634	23.36053848	23.92660141	22.96377182	23.88596153	22.12874413
7:35	3.271397114	4.130483627	2.185907841	4.217115879	23.37834549	23.98696709	22.97714233	23.9483757	22.13608742
7:40	3.271397114	4.130483627	2.150330305	4.210143566	24.42145729	25.02515984	24.02830696	24.98807144	23.20022011
7:45	3.271397114	4.130483627	2.117297173	4.205253124	22.69643211	23.31315613	22.28939629	23.27717209	21.46450615
7:50	3.271397114	4.130483627	2.104822397	4.199741364	18.19487953	19.16905594	17.78706741	19.1102581	16.98954773
7:55	3.249712944	4.130483627	2.081663132	4.194135189	22.20383263	23.1657486	21.80053329	23.08959198	21.03164673
8:00	3.214987516	4.130483627	2.020627737	4.186579227	23.31659698	24.16117477	22.92407227	24.09657288	22.13619423
8:05	3.181337595	4.130483627	1.979886651	4.176864624	23.20186424	24.08398056	22.79564476	24.01710129	22.01708412
8:10	3.147861719	4.130483627	1.942877173	4.168544769	22.84659195	23.75091553	22.41922951	23.68607903	21.62397385
8:15	3.114253044	4.130483627	1.89052844	4.158793449	22.2485981	23.06907654	21.80434608	23.00708008	21.02233887
8:20	3.080171824	4.130483627	1.850126982	4.147452831	21.6514473	22.45816422	21.20111656	22.3970356	20.41827583
8:25	3.045675755	4.130483627	1.810875058	4.137518883	21.83426857	22.93450356	21.38769531	22.84476662	20.63290024
