44.28474,44.28474,,,
42.84828,41.978624,2214.237,0.77,38.5
42.967625,42.1241,2223.00125,0.775,38.75
42.653625,41.6229,2213.1279,0.75,37.5
42.494955,41.495964,2201.44875,0.75,37.5
42.28296,41.436368,2192.9295,0.761,38.05
41.65051,40.820408,2177.825,0.75,37.5
41.504865,42.093892,2167.4706,0.889,44.45
42.268635,41.584908,2200.46715,0.777,38.85
42.471403,42.9971224,2202.806175,0.902,45.1
42.478028,42.8324224,2199.85365,0.885,44.25
42.63373,41.646984,2205.973125,0.754,37.7
42.2603875,42.70831,2202.4465,0.89,44.5
42.054285,42.163428,2191.33975,0.852,42.6
42.054285,41.143428,2191.3805,0.75,37.5
41.7708365,41.4066692,2177.9625,0.799,39.95
41.60026,40.780208,2174.488,0.75,37.5
41.448918,40.6591344,2167.4706,0.75,37.5
40.75385,40.59308,2145.89825,0.799,39.95
40.88399,40.217192,2147.969,0.751,37.55
41.084403,40.3775224,2156.557,0.751,37.55
40.848265,40.178612,2151.43375,0.75,37.5
40.400525,40.05042,2136.4565,0.773,38.65
40.178125,39.6425,2126.81875,0.75,37.5
40.6826,40.08608,2144.7891,0.754,37.7
40.66277,40.100216,2142.80635,0.757,37.85
40.75071,40.180568,2148.03775,0.758,37.9
40.66454,40.061632,2144.04975,0.753,37.65
40.512905,39.960324,2135.26175,0.755,37.75
40.227592,39.6820736,2126.84825,0.75,37.5
40.04622,39.596976,2125.238625,0.756,37.8
39.828335,39.442668,2118.68725,0.758,37.9
39.91667,39.583336,2123.53075,0.765,38.25
39.9944,39.65552,2118.29975,0.766,38.3
40.908727,40.6869816,2150.629,0.796,39.8
41.049072,40.6192576,2159.03,0.778,38.9
40.793437,40.3447496,2153.9624,0.771,38.55
40.728578,40.2828624,2144.965825,0.77,38.5
40.7459975,40.396798,2149.83375,0.78,39
40.757775,40.37622,2151.62325,0.777,38.85
40.750415,40.320332,2145.12525,0.772,38.6
40.534657,40.1377256,2137.195925,0.771,38.55
40.42899,40.093192,2134.2875,0.775,38.75
40.42899,40.093192,2134.30465,0.775,38.75
40.42899,40.143192,2141.26575,0.78,39
40.4401125,40.08209,2142.97025,0.773,38.65
40.366175,39.99294,2137.801,0.77,38.5
40.4113235,40.0690588,2136.0834,0.774,38.7
40.52489,40.209912,2135.943175,0.779,38.95
40.67558,40.350464,2142.21775,0.781,39.05
40.710667,40.3585336,2143.8175,0.779,38.95
40.39333,40.004664,2132.0106,0.769,38.45
40.2074275,39.815942,2125.5085,0.765,38.25
40.058585,39.816868,2125.4055,0.777,38.85
39.8249985,39.6199988,2118.40775,0.776,38.8
39.845215,39.656172,2116.6115,0.778,38.9
39.905875,39.7447,2116.601625,0.782,39.1
40.07213,39.877704,2123.5505,0.782,39.1
40.422705,40.158164,2131.68675,0.782,39.1
40.0907785,39.7626228,2124.41415,0.769,38.45
40.241925,39.90354,2129.105325,0.771,38.55
40.968795,40.525036,2151.4825,0.775,38.75
39.7072225,39.315778,2115.62025,0.755,37.75
39.74766,39.528128,2111.6455,0.773,38.65
39.974183,39.6393464,2120.36075,0.766,38.3
39.81165,39.43932,2113.4609,0.759,37.95
40.40403,40.023224,2132.038625,0.77,38.5
40.98474,40.617792,2158.27675,0.783,39.15
40.789185,40.221348,2156.06615,0.759,37.95
40.92299,40.238392,2153.94625,0.75,37.5
40.7909,40.23272,2153.90925,0.76,38
40.598583,39.9988664,2139.56775,0.752,37.6
40.42899,39.843192,2136.024825,0.75,37.5
40.267245,39.713796,2129.12515,0.75,37.5
41.1527125,40.63217,2161.90575,0.771,38.55
42.56562,41.622496,2203.50965,0.757,37.85
40.152055,40.561644,2133.4581,0.844,42.2
40.163997,39.6411976,2125.69,0.751,37.55
40.898782,40.3190256,2149.66025,0.76,38
41.3368375,40.57947,2167.343,0.751,37.55
41.936898,41.0495184,2184.77375,0.75,37.5
42.59487,41.605896,2202.5676,0.753,37.65
43.04889,41.959112,2219.80185,0.752,37.6
43.497415,42.297932,2236.50635,0.75,37.5
44.37994,43.003952,2267.6185,0.75,37.5
44.08295,42.76636,2261.33725,0.75,37.5
44.8638,43.39104,2286.4135,0.75,37.5
45.6819415,44.0455532,2314.4734,0.75,37.5
45.6454365,44.0163492,2312.687,0.75,37.5
45.5011575,44.230926,2304.17775,0.783,39.15
45.559065,43.947252,2309.2945,0.75,37.5
45.73278,44.086224,2312.623125,0.75,37.5
46.06039,44.348312,2325.789325,0.75,37.5
46.3840785,44.6072628,2336.075,0.75,37.5
46.236075,44.61886,2330.7556,0.763,38.15
44.9128715,45.9302972,2287.414675,1,50
43.6475785,42.4180628,2249.265175,0.75,37.5
43.355695,42.194556,2236.005675,0.751,37.55
43.468368,42.7046944,2234.5826,0.793,39.65
43.377285,42.631828,2234.4745,0.793,39.65
43.06731,42.373848,2227.35925,0.792,39.6
42.8231565,41.7585252,2218.202,0.75,37.5
42.7626965,41.9101572,2216.308125,0.77,38.5
43.02396,41.929168,2224.954675,0.751,37.55
42.865947,41.8927576,2216.2685,0.76,38
43.36567,42.262536,2232.21735,0.757,37.85
43.19787,42.058296,2228.41925,0.75,37.5
42.83415,41.76732,2220.626175,0.75,37.5
42.700407,41.6603256,2219.180175,0.75,37.5
42.513115,41.510492,2206.773,0.75,37.5
42.4782725,41.512618,2202.57715,0.753,37.65
42.868048,41.8144384,2220.03325,0.752,37.6
42.177455,41.241964,2200.369,0.75,37.5
42.36089,41.418712,2204.71675,0.753,37.65
42.33675,41.3694,2201.70375,0.75,37.5
42.060005,41.188004,2187.34825,0.754,37.7
